sire,long,extended,cluster,cluster_name
アイルハヴアナザーI'll Have Another(米),0.36363636363636365,0.1111111111111111,1,長距離 (2400〜2800m)
アドマイヤムーン,0.09090909090909091,0.32926829268292684,2,超長距離 (2800m〜)
エイシンフラッシュ,0.5217391304347826,0.22549019607843138,3,長距離 (2400〜2800m)
エピファネイア,0.3,0.23595505617977527,4,超長距離 (2800m〜)
オルフェーヴル,0.47058823529411764,0.36363636363636365,0,長距離 (2400〜2800m)
カレンブラックヒル,0.2857142857142857,0.08571428571428572,1,長距離 (2400〜2800m)
キズナ,0.32,0.44554455445544555,0,長距離 (2400〜2800m)
キタサンブラック,0.0,0.4745762711864407,2,超長距離 (2800m〜)
キングカメハメハ,0.3076923076923077,0.27717391304347827,4,超長距離 (2800m〜)
キングヘイロー,0.2727272727272727,0.24561403508771928,4,超長距離 (2800m〜)
キンシャサノキセキ,0.2727272727272727,0.24358974358974358,4,超長距離 (2800m〜)
クロフネ,0.0,0.256198347107438,5,超長距離 (2800m〜)
ゴールドアリュール,0.0,0.2857142857142857,2,超長距離 (2800m〜)
ゴールドシップ,0.4117647058823529,0.2751677852348993,4,超長距離 (2800m〜)
シニスターミニスターSinister Minister(米),0.0,0.18,5,超長距離 (2800m〜)
シルバーステート,0.0,0.19444444444444445,5,超長距離 (2800m〜)
シンボリクリスエス,0.7777777777777778,0.12,3,長距離 (2400〜2800m)
ジャスタウェイ,0.25,0.27611940298507465,4,超長距離 (2800m〜)
ジャングルポケット,0.0,0.21818181818181817,5,超長距離 (2800m〜)
スクリーンヒーロー,0.625,0.25396825396825395,3,長距離 (2400〜2800m)
ステイゴールド,0.2222222222222222,0.3493150684931507,2,超長距離 (2800m〜)
ストロングリターン,0.08333333333333333,0.16279069767441862,5,超長距離 (2800m〜)
ゼンノロブロイ,0.14285714285714285,0.24390243902439024,4,超長距離 (2800m〜)
ダイワメジャー,0.17647058823529413,0.2674897119341564,4,超長距離 (2800m〜)
ダンカークDunkirk(米),0.14285714285714285,0.2653061224489796,4,超長距離 (2800m〜)
ディープインパクト,0.525,0.35789473684210527,0,長距離 (2400〜2800m)
ディープブリランテ,0.5,0.23404255319148937,3,長距離 (2400〜2800m)
デクラレーションオブウォー,0.0,0.34146341463414637,2,超長距離 (2800m〜)
トゥザグローリー,0.2,0.17567567567567569,1,長距離 (2400〜2800m)
トランセンド,0.2,0.28,4,超長距離 (2800m〜)
トーセンホマレボシ,0.0,0.125,5,超長距離 (2800m〜)
ドゥラメンテ,0.2,0.32142857142857145,4,超長距離 (2800m〜)
ドリームジャーニー,0.0,0.3617021276595745,2,超長距離 (2800m〜)
ドレフォンDrefong(米),0.6,0.21818181818181817,3,長距離 (2400〜2800m)
ネオユニヴァース,0.2,0.13095238095238096,1,長距離 (2400〜2800m)
ノヴェリストNovellist(愛),0.0,0.375,2,超長距離 (2800m〜)
ハーツクライ,0.34375,0.28512396694214875,4,超長距離 (2800m〜)
ハービンジャーHarbinger(英),0.2857142857142857,0.3821138211382114,0,長距離 (2400〜2800m)
バゴBago(仏),0.4,0.2037037037037037,3,長距離 (2400〜2800m)
パイロPyro(米),0.2,0.23076923076923078,4,超長距離 (2800m〜)
フェノーメノ,0.23076923076923078,0.2125,1,長距離 (2400〜2800m)
ブラックタイド,0.25806451612903225,0.329608938547486,4,超長距離 (2800m〜)
ヘニーヒューズHenny Hughes(米),0.0,0.13636363636363635,5,超長距離 (2800m〜)
ベルシャザール,0.25,0.20408163265306123,1,長距離 (2400〜2800m)
ベーカバドBehkabad(仏),0.2,0.1702127659574468,1,長距離 (2400〜2800m)
ホッコータルマエ,0.0,0.13559322033898305,5,超長距離 (2800m〜)
マクフィMakfi(英),0.5,0.23684210526315788,3,長距離 (2400〜2800m)
マジェスティックウォリアーMajestic Warrior(米),0.2,0.2753623188405797,4,超長距離 (2800m〜)
マツリダゴッホ,0.21212121212121213,0.21019108280254778,1,長距離 (2400〜2800m)
マンハッタンカフェ,0.3,0.25555555555555554,4,超長距離 (2800m〜)
ミッキーアイル,0.625,0.2,3,長距離 (2400〜2800m)
メイショウサムソン,0.6,0.34285714285714286,0,長距離 (2400〜2800m)
メイショウボーラー,0.0,0.19148936170212766,5,超長距離 (2800m〜)
モンテロッソMonterosso(英),0.42857142857142855,0.1956521739130435,3,長距離 (2400〜2800m)
モーリス,0.2,0.18181818181818182,1,長距離 (2400〜2800m)
ラブリーデイ,0.5,0.3488372093023256,0,長距離 (2400〜2800m)
リオンディーズ,0.2,0.2765957446808511,4,超長距離 (2800m〜)
リーチザクラウン,0.3,0.15873015873015872,1,長距離 (2400〜2800m)
ルーラーシップ,0.3235294117647059,0.2886178861788618,4,超長距離 (2800m〜)
ロージズインメイRoses in May(米),0.14285714285714285,0.17777777777777778,1,長距離 (2400〜2800m)
ロードカナロア,0.3333333333333333,0.2727272727272727,4,超長距離 (2800m〜)
ワールドエース,0.0,0.32,2,超長距離 (2800m〜)
ヴィクトワールピサ,0.2,0.30275229357798167,4,超長距離 (2800m〜)
