sire,Fusaichi Pegasus,Giant's Causeway(米),Singspiel(愛),アグネスタキオン,アグネスデジタル,エルコンドルパサー,キングカメハメハ,クロフネ,ゴールドアリュール,サクラバクシンオー,サンデーサイレンスSunday Silence(米),シンボリクリスエス,ステイゴールド,スペシャルウィーク,ゼンノロブロイ,タイキシャトル,ダイワメジャー,ダンスインザダーク,ティンバーカントリーTimber Country(米),ディープインパクト,ネオユニヴァース,ハーツクライ,フジキセキ,フレンチデピュティFrench Deputy(米),ブライアンズタイムBrian's Time(米),ホワイトマズルWhite Muzzle(英),マンハッタンカフェ,ワイルドラッシュWild Rush(米)
アドマイヤムーン,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,8.0
エイシンフラッシュ,,,,,,,,,6.0,8.0,11.0,,7.0,,3.0,,15.0,,,16.0,,,8.0,,,,7.0,
エピファネイア,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,
オルフェーヴル,,,,5.0,,,8.0,10.0,,,,12.0,,,,,,,,,,,,16.0,,,,
キズナ,,,18.0,,,,,12.0,,,,,,,8.0,,,,,,,,,9.0,,,,
キングカメハメハ,,,,,,,,,,,36.0,,,22.0,,,,,,11.0,,,,6.0,,,,
キングヘイロー,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,
キンシャサノキセキ,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
クロフネ,,,,,,,,,,,12.0,,,,,,,,,,13.0,,3.0,,,,,
ゴールドシップ,,,,,,,5.0,,,,,,,,,,,,,,,,,16.0,12.0,,,
ジャスタウェイ,,,,,,,6.0,,,,,5.0,,,,,,7.0,,,,,,,,,,
ステイゴールド,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,
ダイワメジャー,,,,,,,6.0,16.0,,,,9.0,,,,,,,,,,,,,,,,
ディープインパクト,6.0,,,,,,14.0,,,,,,,,,,,,,,,,,,,22.0,,
トゥザグローリー,,,,,,,,,,2.0,,,,,,6.0,,,,,,,,,,,,
ネオユニヴァース,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,
ノヴェリストNovellist(愛),,,,11.0,,,11.0,,,,,,,7.0,,,,,,10.0,13.0,,,,,,,
ハーツクライ,,14.0,,,,,18.0,,,21.0,,,,,,,,,,,,,,,,,,
ハービンジャーHarbinger(英),,,,11.0,,,,,,,23.0,,,10.0,,,,,,13.0,7.0,,,,,,,
フェノーメノ,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,
ブラックタイド,,,,,,4.0,17.0,,,,,,,,,,,,,,,,,,,,,
マジェスティックウォリアーMajestic Warrior(米),,,,,,,10.0,,,,,1.0,,11.0,,,,,,,,,,,,,,
マツリダゴッホ,,,,,10.0,,,,,,,,,,,,,,,,,,,,28.0,19.0,,
マンハッタンカフェ,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,
メイショウサムソン,,,,27.0,,,,,,,9.0,,,,,,,,,,,,,,,,,
リーチザクラウン,,,,4.0,,,,,,,,,,,,,,,,,,,,,10.0,,,
ルーラーシップ,,,,8.0,,,,24.0,,,19.0,8.0,,13.0,,,,11.0,,12.0,9.0,8.0,10.0,,,,,9.0
ロードカナロア,,,,,,,,,,,,30.0,,,,,,,,1.0,,7.0,,,,,,
ヴィクトワールピサ,,,,,,10.0,,,,,,,,,,,,,,,,,,,14.0,,,
