sire,long,extended
アイルハヴアナザーI'll Have Another(米),0.0,0.044444444444444446
アドマイヤムーン,0.0,0.12195121951219512
エイシンフラッシュ,0.2608695652173913,0.09313725490196079
エピファネイア,0.0,0.0898876404494382
オルフェーヴル,0.0,0.13286713286713286
キズナ,0.2,0.17326732673267325
キタサンブラック,0.0,0.2542372881355932
キングカメハメハ,0.11538461538461539,0.14130434782608695
キングヘイロー,0.0,0.10526315789473684
キンシャサノキセキ,0.0,0.11538461538461539
クロフネ,0.0,0.0743801652892562
ゴールドアリュール,0.0,0.10714285714285714
ゴールドシップ,0.0,0.06711409395973154
シニスターミニスターSinister Minister(米),0.0,0.08
シンボリクリスエス,0.0,0.04
ジャスタウェイ,0.0,0.05970149253731343
ジャングルポケット,0.0,0.07272727272727272
スクリーンヒーロー,0.0,0.07936507936507936
ステイゴールド,0.0,0.136986301369863
ストロングリターン,0.0,0.046511627906976744
ダイワメジャー,0.0392156862745098,0.09053497942386832
ダンカークDunkirk(米),0.0,0.08163265306122448
ディープインパクト,0.15,0.10877192982456141
トゥザグローリー,0.0,0.05405405405405406
トランセンド,0.0,0.1
ドゥラメンテ,0.0,0.125
ドリームジャーニー,0.0,0.0851063829787234
ドレフォンDrefong(米),0.0,0.05454545454545454
ネオユニヴァース,0.0,0.047619047619047616
ノヴェリストNovellist(愛),0.0,0.09375
ハーツクライ,0.0625,0.10743801652892562
ハービンジャーHarbinger(英),0.0,0.17886178861788618
バゴBago(仏),0.0,0.07407407407407407
フェノーメノ,0.0,0.0625
ブラックタイド,0.0967741935483871,0.1005586592178771
ベルシャザール,0.0,0.04081632653061224
ベーカバドBehkabad(仏),0.0,0.10638297872340426
ホッコータルマエ,0.0,0.0847457627118644
マジェスティックウォリアーMajestic Warrior(米),0.0,0.07246376811594203
マツリダゴッホ,0.0,0.044585987261146494
マンハッタンカフェ,0.0,0.044444444444444446
メイショウサムソン,0.0,0.11428571428571428
メイショウボーラー,0.0,0.10638297872340426
モンテロッソMonterosso(英),0.0,0.06521739130434782
モーリス,0.0,0.06818181818181818
リーチザクラウン,0.0,0.047619047619047616
ルーラーシップ,0.08823529411764706,0.11788617886178862
ロードカナロア,0.0,0.11570247933884298
ワールドエース,0.0,0.08
ヴィクトワールピサ,0.0,0.07339449541284404
