sire,sprint,mile,intermediate,long,extended
アドマイヤムーン,0.14465408805031446,0.0681198910081744,0.0625,0.1,0.0
アメリカンペイトリオット,0.16793893129770993,0.1274131274131274,0.11312217194570136,0.0,0.0
イスラボニータ,0.12598425196850394,0.19877675840978593,0.1362397820163488,0.0,0.0
エイシンヒカリ,0.15121951219512195,0.1277533039647577,0.11946902654867257,0.0,0.0
エイシンフラッシュ,0.11304347826086956,0.08823529411764706,0.09203296703296704,0.09090909090909091,0.0
エピファネイア,0.09381237524950099,0.18883610451306412,0.19664634146341464,0.2040133779264214,0.19230769230769232
オルフェーヴル,0.13559322033898305,0.1141552511415525,0.15527065527065528,0.17086834733893558,0.2
カレンブラックヒル,0.11038961038961038,0.09157509157509157,0.08176100628930817,0.0,0.0
キズナ,0.14696485623003194,0.199851411589896,0.21722528638099278,0.22959183673469388,0.15217391304347827
キタサンブラック,0.23529411764705882,0.19387755102040816,0.23412698412698413,0.226890756302521,0.0
キングカメハメハ,0.17073170731707318,0.18045112781954886,0.19647822057460612,0.2188679245283019,0.07692307692307693
キンシャサノキセキ,0.11279229711141678,0.07421875,0.11594202898550725,0.0,0.0
ゴールドシップ,0.14150943396226415,0.13414634146341464,0.14406065711878685,0.15476190476190477,0.18
サトノアラジン,0.17204301075268819,0.10894941634241245,0.10606060606060606,0.13636363636363635,0.0
サトノクラウン,0.09230769230769231,0.11262798634812286,0.08712871287128712,0.22784810126582278,0.0
サトノダイヤモンド,0.18072289156626506,0.11494252873563218,0.170182841068917,0.11764705882352941,0.0
シルバーステート,0.14285714285714285,0.15117891816920942,0.19184652278177458,0.20238095238095238,0.0
ジャスタウェイ,0.12012987012987013,0.10645724258289703,0.15151515151515152,0.22435897435897437,0.0
ジャングルポケット,0.09302325581395349,0.07482993197278912,0.10122699386503067,0.09722222222222222,0.0
スクリーンヒーロー,0.13486005089058525,0.16750418760469013,0.17040358744394618,0.17391304347826086,0.0
スワーヴリチャード,0.17543859649122806,0.14388489208633093,0.21052631578947367,0.14705882352941177,0.0
ダイワメジャー,0.1650485436893204,0.15571776155717762,0.15895953757225434,0.07407407407407407,0.0
ダノンバラード,0.1079136690647482,0.10702341137123746,0.12,0.20833333333333334,0.0
ディスクリートキャットDiscreet Cat(米),0.13354037267080746,0.12048192771084337,0.04950495049504951,0.0,0.0
ディープインパクト,0.11246943765281174,0.2005420054200542,0.23429541595925296,0.1893491124260355,0.17647058823529413
ディープブリランテ,0.10441767068273092,0.09536082474226804,0.0972972972972973,0.14285714285714285,0.0
デクラレーションオブウォー,0.1937984496124031,0.1380952380952381,0.17846153846153845,0.0,0.0
トーセンラー,0.1565217391304348,0.11,0.10264900662251655,0.18181818181818182,0.0
ドゥラメンテ,0.1440677966101695,0.1710239651416122,0.20771513353115728,0.22611464968152867,0.0
ドレフォンDrefong(米),0.1485148514851485,0.15019762845849802,0.12374581939799331,0.16129032258064516,0.0
ノヴェリストNovellist(愛),0.09433962264150944,0.11538461538461539,0.1289134438305709,0.16883116883116883,0.0
ハーツクライ,0.12542372881355932,0.17602591792656588,0.17140600315955767,0.14453781512605043,0.0
ハービンジャーHarbinger(英),0.1016949152542373,0.1391509433962264,0.15566037735849056,0.14725274725274726,0.09523809523809523
バゴBago(仏),0.15714285714285714,0.11158798283261803,0.1029082774049217,0.10204081632653061,0.0
ビッグアーサー,0.19953325554259044,0.10863509749303621,0.02857142857142857,0.0,0.0
ブラックタイド,0.09375,0.06569343065693431,0.13751507840772015,0.15126050420168066,0.0
ブリックスアンドモルタルBricks and Mortar(米),0.16326530612244897,0.18449197860962566,0.16262975778546712,0.13114754098360656,0.0
マクフィMakfi(英),0.1453287197231834,0.12874251497005987,0.1358695652173913,0.0,0.0
マツリダゴッホ,0.09276018099547512,0.07717041800643087,0.07142857142857142,0.0,0.0
ミッキーアイル,0.1702127659574468,0.16546762589928057,0.15422885572139303,0.0,0.0
モーリス,0.15946348733233978,0.18675496688741722,0.19571230982019364,0.09345794392523364,0.0
ラブリーデイ,0.12195121951219512,0.12686567164179105,0.125,0.025,0.0
リアルインパクト,0.1076923076923077,0.13136729222520108,0.11940298507462686,0.0,0.0
リアルスティール,0.12101910828025478,0.208,0.21815519765739386,0.19402985074626866,0.0
リオンディーズ,0.15581854043392504,0.15857988165680473,0.14647887323943662,0.16666666666666666,0.0
ルーラーシップ,0.12954545454545455,0.15619047619047619,0.15017985611510792,0.17889908256880735,0.21739130434782608
レイデオロ,0.06521739130434782,0.204,0.16293929712460065,0.308411214953271,0.0
ロードカナロア,0.20515759312320916,0.19185282522996058,0.20668316831683167,0.19008264462809918,0.0
ワールドエース,0.050761421319796954,0.10204081632653061,0.09840425531914894,0.1346153846153846,0.0
ヴィクトワールピサ,0.12903225806451613,0.14259927797833935,0.10594315245478036,0.09523809523809523,0.0
